시점,행정동,성별,나이,인구수
2023-07-15,광명1동,남자,0,0
2023-07-15,광명1동,남자,1,0
2023-07-15,광명1동,남자,2,0
2023-07-15,광명1동,남자,3,0
2023-07-15,광명1동,남자,4,0
2023-07-15,광명1동,남자,5,0
2023-07-15,광명1동,남자,6,0
2023-07-15,광명1동,남자,7,0
2023-07-15,광명1동,남자,8,0
2023-07-15,광명1동,남자,9,0
2023-07-15,광명1동,남자,10,0
2023-07-15,광명1동,남자,11,0
2023-07-15,광명1동,남자,12,0
2023-07-15,광명1동,남자,13,1
2023-07-15,광명1동,남자,14,1
2023-07-15,광명1동,남자,15,0
2023-07-15,광명1동,남자,16,0
2023-07-15,광명1동,남자,17,1
2023-07-15,광명1동,남자,18,0
2023-07-15,광명1동,남자,19,0
2023-07-15,광명1동,남자,20,0
2023-07-15,광명1동,남자,21,0
2023-07-15,광명1동,남자,22,0
2023-07-15,광명1동,남자,23,0
2023-07-15,광명1동,남자,24,0
2023-07-15,광명1동,남자,25,0
2023-07-15,광명1동,남자,26,0
2023-07-15,광명1동,남자,27,0
2023-07-15,광명1동,남자,28,0
2023-07-15,광명1동,남자,29,0
2023-07-15,광명1동,남자,30,0
2023-07-15,광명1동,남자,31,1
2023-07-15,광명1동,남자,32,0
2023-07-15,광명1동,남자,33,0
2023-07-15,광명1동,남자,34,0
2023-07-15,광명1동,남자,35,1
2023-07-15,광명1동,남자,36,0
2023-07-15,광명1동,남자,37,1
2023-07-15,광명1동,남자,38,0
2023-07-15,광명1동,남자,39,0
2023-07-15,광명1동,남자,40,1
2023-07-15,광명1동,남자,41,1
2023-07-15,광명1동,남자,42,0
2023-07-15,광명1동,남자,43,0
2023-07-15,광명1동,남자,44,0
2023-07-15,광명1동,남자,45,0
2023-07-15,광명1동,남자,46,2
2023-07-15,광명1동,남자,47,1
2023-07-15,광명1동,남자,48,1
2023-07-15,광명1동,남자,49,0
2023-07-15,광명1동,남자,50,1
2023-07-15,광명1동,남자,51,0
2023-07-15,광명1동,남자,52,4
2023-07-15,광명1동,남자,53,2
2023-07-15,광명1동,남자,54,0
2023-07-15,광명1동,남자,55,0
2023-07-15,광명1동,남자,56,1
2023-07-15,광명1동,남자,57,0
2023-07-15,광명1동,남자,58,1
2023-07-15,광명1동,남자,59,1
2023-07-15,광명1동,남자,60,0
2023-07-15,광명1동,남자,61,2
2023-07-15,광명1동,남자,62,0
2023-07-15,광명1동,남자,63,0
2023-07-15,광명1동,남자,64,0
2023-07-15,광명1동,남자,65,0
2023-07-15,광명1동,남자,66,2
2023-07-15,광명1동,남자,67,0
2023-07-15,광명1동,남자,68,0
2023-07-15,광명1동,남자,69,0
2023-07-15,광명1동,남자,70,1
2023-07-15,광명1동,남자,71,0
2023-07-15,광명1동,남자,72,0
2023-07-15,광명1동,남자,73,1
2023-07-15,광명1동,남자,74,0
2023-07-15,광명1동,남자,75,0
2023-07-15,광명1동,남자,76,0
2023-07-15,광명1동,남자,77,0
2023-07-15,광명1동,남자,78,0
2023-07-15,광명1동,남자,79,0
2023-07-15,광명1동,남자,80,0
2023-07-15,광명1동,남자,81,0
2023-07-15,광명1동,남자,82,0
2023-07-15,광명1동,남자,83,0
2023-07-15,광명1동,남자,84,0
2023-07-15,광명1동,남자,85,0
2023-07-15,광명1동,남자,86,0
2023-07-15,광명1동,남자,87,0
2023-07-15,광명1동,남자,88,0
2023-07-15,광명1동,남자,89,0
2023-07-15,광명1동,남자,90,0
2023-07-15,광명1동,남자,91,0
2023-07-15,광명1동,남자,92,0
2023-07-15,광명1동,남자,93,0
2023-07-15,광명1동,남자,94,0
2023-07-15,광명1동,남자,95,0
2023-07-15,광명1동,남자,96,0
2023-07-15,광명1동,남자,97,0
2023-07-15,광명1동,남자,98,0
2023-07-15,광명1동,남자,99,0
2023-07-15,광명1동,남자,100,0
2023-07-15,광명1동,여자,0,0
2023-07-15,광명1동,여자,1,0
2023-07-15,광명1동,여자,2,0
2023-07-15,광명1동,여자,3,0
2023-07-15,광명1동,여자,4,0
2023-07-15,광명1동,여자,5,0
2023-07-15,광명1동,여자,6,0
2023-07-15,광명1동,여자,7,0
2023-07-15,광명1동,여자,8,0
2023-07-15,광명1동,여자,9,0
2023-07-15,광명1동,여자,10,0
2023-07-15,광명1동,여자,11,0
2023-07-15,광명1동,여자,12,0
2023-07-15,광명1동,여자,13,0
2023-07-15,광명1동,여자,14,1
2023-07-15,광명1동,여자,15,0
2023-07-15,광명1동,여자,16,0
2023-07-15,광명1동,여자,17,0
2023-07-15,광명1동,여자,18,0
2023-07-15,광명1동,여자,19,0
2023-07-15,광명1동,여자,20,0
2023-07-15,광명1동,여자,21,0
2023-07-15,광명1동,여자,22,0
